#{"t_start": 1682828472.0552056, "env_id": null}
r,l,t
1611.721638,2,17.777692
1611.721638,2,17.818023
1611.721638,2,17.863545
1611.721638,2,17.909867
1611.721638,2,17.957215
1611.721638,2,17.997888
1611.721638,2,18.035516
1611.721638,2,18.075445
1611.721638,2,18.112908
1611.721638,2,18.147925
1611.721638,2,18.185575
1611.721638,2,18.227107
1611.721638,2,18.270054
1611.721638,2,18.310381
1611.721638,2,18.346047
1611.721638,2,18.411997
1611.721638,2,18.451643
1611.721638,2,18.491645
1611.721638,2,18.532634
1611.721638,2,18.576022
1611.721638,2,18.615637
1611.721638,2,18.65481
1611.721638,2,18.693845
1611.721638,2,18.735932
1611.721638,2,18.782231
1611.721638,2,18.827432
1611.721638,2,18.868218
1611.721638,2,18.912074
1611.721638,2,18.950287
1611.721638,2,18.987966
1611.721638,2,19.022435
1611.721638,2,19.065824
1611.721638,2,19.110847
1611.721638,2,19.148288
1611.721638,2,19.188959
1611.721638,2,19.231636
1611.721638,2,19.27676
1611.721638,2,19.31496
1611.721638,2,19.355057
1611.721638,2,19.400414
1611.721638,2,19.439747
1611.721638,2,19.477777
1611.721638,2,19.517842
1611.721638,2,19.565473
1611.721638,2,19.60339
1611.721638,2,19.643253
1611.721638,2,19.683142
1611.721638,2,19.722363
1611.721638,2,19.761677
1611.721638,2,19.796426
1611.721638,2,19.831061
1611.721638,2,19.875798
1611.721638,2,19.918147
1611.721638,2,19.95797
1611.721638,2,19.994181
1611.721638,2,20.039194
1611.721638,2,20.080598
1611.721638,2,20.116775
1611.721638,2,20.154248
1611.721638,2,20.192132
1611.721638,2,20.228672
1611.721638,2,20.264694
1611.721638,2,20.302037
1611.721638,2,20.57059
1611.721638,2,20.613711
1611.721638,2,20.67417
1611.721638,2,20.718405
1611.721638,2,20.763461
1611.721638,2,20.802676
1611.721638,2,20.841818
1611.721638,2,20.878434
1611.721638,2,20.922816
1611.721638,2,20.96457
1611.721638,2,21.007759
1611.721638,2,21.050261
1611.721638,2,21.092782
1611.721638,2,21.133781
1611.721638,2,21.171053
1611.721638,2,21.215625
1611.721638,2,21.263319
1611.721638,2,21.30664
1611.721638,2,21.354261
1611.721638,2,21.395699
1611.721638,2,21.442342
1611.721638,2,21.480937
1611.721638,2,21.518053
